time,x,y,z
0.0,-0.4514926,4.7459655,10.581729
0.01,1.5588707,2.06875,8.59098
0.02,1.91191,2.3139162,7.512247
0.03,2.1570764,2.294303,6.286416
0.04,2.5101159,2.5885024,6.168736
0.049999997,2.7454753,2.686569,6.541389
0.059999995,3.0298681,2.686569,6.7865553
0.06999999,3.118128,2.608116,6.7865553
0.07999999,3.118128,2.5394692,7.041528
0.09999999,2.755282,2.519856,7.492634
0.109999985,1.97075,2.4119828,8.12026
0.11999998,1.6275172,2.3433363,8.355619
0.12999998,1.382351,2.3433363,8.365426
0.13999999,1.1077648,2.3433363,8.424266
0.14999999,1.0096983,2.3433363,8.424266
0.16,0.91163176,2.3433363,8.394846
0.17,0.82337195,2.3433363,8.130067
0.18,0.793952,2.3629496,7.85548
0.19000001,0.793952,2.4708228,7.7476068
0.20000002,0.793952,2.8336687,7.659347
0.21000002,0.81356525,3.1180615,7.6005073
0.22000003,0.90182513,3.4220679,7.6005073
0.23000003,0.9704717,3.4809077,7.6201205
0.24000004,0.990085,3.500521,7.718187
0.25000003,0.990085,3.5103276,7.8064466
0.26000002,0.990085,3.5103276,8.169293
0.27,1.0587316,3.5103276,8.404653
0.28,1.1273781,3.5103276,8.483106
0.29,1.0195049,3.5103276,8.502719
0.29999998,1.0195049,3.5789742,9.238218
0.30999997,1.6667439,3.5789742,10.032557
0.31999996,1.9217168,3.5103276,10.503276
0.32999995,1.8334569,3.4416811,10.611149
0.33999994,1.2744778,3.4416811,10.611149
0.34999993,0.8331786,3.5201342,10.25811
0.35999992,0.5782057,3.5789742,9.954103
0.36999992,0.4703325,3.8241405,9.954103
0.3799999,0.4899458,3.8437538,10.012943
0.3899999,0.91163176,3.9124002,9.99333
0.3999999,1.1764114,3.981047,9.924684
0.40999988,1.5392574,4.3340864,9.856037
0.41999987,2.0393965,4.657706,9.856037
0.42999986,2.5787623,4.932292,10.120816
0.43999985,2.9121885,4.9519053,10.807282
0.44999984,2.9121885,4.9519053,11.66046
0.45999983,2.6670222,4.4615726,12.464606
0.46999982,2.2845628,3.8143337,13.160878
0.4799998,1.6177106,3.0396085,13.455078
0.4899998,0.8331786,2.264883,13.435465
0.4999998,0.12709975,1.6568706,12.886292
0.5099998,-0.37303942,1.3038312,12.19002
0.5199998,-0.4711059,1.3038312,11.336842
0.5299998,-0.5397524,1.392091,10.581729
0.5399998,-0.52013916,1.8039703,9.99333
0.5499998,-0.25535962,2.1570098,9.561837
0.55999976,0.009419952,2.5002427,9.493191
0.56999975,0.10748646,2.608116,9.414738
0.57999974,0.36245933,2.8728955,9.414738
0.58999974,0.372266,2.8728955,9.434351
0.5999997,0.372266,2.7846355,9.532417
0.6099997,0.34284604,2.4414027,9.620678
0.6199997,0.22516626,2.3335297,9.620678
0.6299997,-0.0396133,2.0589433,9.542224
0.6399997,-0.10825986,2.0001035,9.149959
0.6499997,-0.18671305,1.9804901,8.659626
0.65999967,-0.24555294,1.9804901,7.97316
0.66999966,-0.24555294,2.03933,7.237661
0.67999965,-0.24555294,2.1373966,6.6394553
0.68999964,-0.24555294,2.3825629,6.207963
0.69999963,-0.24555294,2.4512093,6.1000896
0.7099996,-0.24555294,2.5296626,5.8255033
0.7199996,-0.26516625,2.608116,5.756857
0.7299996,-0.27497292,2.6669557,5.639177
0.7399996,-0.28477958,2.7257955,5.4038177
0.7499996,-0.30439287,2.745409,5.423431
0.7599996,-0.30439287,2.8140554,5.7176304
0.76999956,-0.216133,2.8925087,6.1295094
